ep,planned_date,slot_time_ist,working_title,format,hook_promise,production_note,assets
# STANDING CADENCE (2026-08-13): TWO Unki Kahani serials — Aadhi Raat couple every THURSDAY 17:00 IST + Aaja Ve couple (Aarav & Meher) every FRIDAY 13:00 IST (bible 3c) | Nasha standalone lane WEDNESDAY | one premium original/wk as slotted
R1,SHIPPED 2026-08-03 · youtu.be/TMVJHHv7v4c,16:00,Tu Hi Hai (Baarish Aur Tum) — opening-chorus Short,short,Baarish ban ke tu — opening chorus at 0:00,Song #01 launch Short. Live.,channels/aashiqana/songs/01-baarish-aur-tum/renders/aashiqana_tu_hi_hai_short_v3.mp4
R2,SHIPPED 2026-08-03 · youtu.be/ZQQvRrGWGLk,16:00,Aaja Ve — long-form music video,long-form,Golden-hour reunion story arc,Song #02 shipped 30/40 on the quality ledger.,channels/aashiqana/songs/02-aaja-ve/renders/aashiqana_aaja_ve_1080.mp4
R3,2026-08-06,16:00,Baarish Aur Tum — final-chorus hook cut (Short),short,"Final chorus at 0:00 — ""Baarish ban ke tu, mujh mein barasta ja""",RELEASE WEEK 1/4. Render already exists and is unpublished; A/B partner to the live opening-chorus Short (QUALITY-LEDGER §4 re-cut rule: different bar + different visual grammar + re-aligned from the stem).,channels/aashiqana/songs/01-baarish-aur-tum/renders/aashiqana_baarish_hookcut_9x16.mp4
R4,2026-08-07,16:00,Aaja Ve — alternate-bar hook cut (Short),short,A second bar of #02 at 0:00 — TBD at kickoff,"RELEASE WEEK 2/4. Same re-cut rule as R3: pick a bar that is NOT the live Short's, re-align from the stem, new caption grammar. Bar choice TBD at kickoff (volumedetect ranking first).",TBD — cut from channels/aashiqana/songs/02-aaja-ve/renders/aashiqana_aaja_ve_1080.mp4
R5,2026-08-08,16:00,Aashiqana release-week centrepiece,long-form,TBD at kickoff,"RELEASE WEEK 3/4 — the hard release slot of the week. Deliverable named by the operator; creative TBD at kickoff. Non-MFK, synthetic disclosure required (--synthetic).",TBD
R6,2026-08-09,16:00,Aashiqana release-week closer (Short),short,TBD at kickoff,RELEASE WEEK 4/4. Closes the burst; carries the comment-CTA that yt_engage.py --count-keyword measures.,TBD
R7,ARMED 2026-08-16 16:00 IST (Sun) · youtu.be/OSXOYpIgtQY,16:00,Tu Hi Hai (Baarish Aur Tum) — REMASTER full long-form,long-form,"Charged drenched close-up + first vocal + lyric at 0:02","Premium slot filled by the Tu Hi Hai REMASTER v2 (VJ approved): HOT_C1 couple, 13 Hailuo 16:9 clips / 30 segments, 31s intro trimmed (3:47), Talab-style 2-3 word whisper-synced captions (LONG-FORM style, locked). Ledger deltas cleared: A1 couple + A3 motion coverage; A7 custom thumb PUSHED via API (channel phone-verified 2026-08-13). Old cut TRmiRnKEKJc stays unlisted pending VJ decision.",channels/aashiqana/songs/01-baarish-aur-tum/renders/aashiqana_tu_hi_hai_remaster_v2.mp4
R8,ARMED 2026-08-12 13:30 IST · youtu.be/nXhtuR-dHqU,13:30,Aadhi Raat — kiss-open (branded motion Short),short,"Woh insaan jise tum chhod hi nahi paate 🥺 — vocal hook at 0:00",LOCKED TEMPLATE v1 (SHORTS-TEMPLATE-LOCKED.md): Midnight neon couple · 4 connected Hailuo motion beats · premium end card. Synthetic disclosure ON.,channels/aashiqana/songs/03-aadhi-raat/renders/aadhiraat_kissopen_branded.mp4
R9,ARMED 2026-08-13 13:00 IST · youtu.be/RUm7xNDaAGQ,13:00,Aaja Ve — golden-bedroom (branded sensual motion Short),short,"Aaja ve 🥺 jiske bina har shaam adhoori — vocal hook at 0:00",LOCKED TEMPLATE v1: fresh golden-hour couple · bedroom (rotated off rooftop) · front-to-camera turn + from-behind hot turn + sink-to-bed · premium end card. Synthetic ON.,channels/aashiqana/songs/02-aaja-ve/renders/aajave_branded.mp4
R10,ARMED 2026-08-13 17:00 IST · youtu.be/whB9e_p5-zE,17:00,Aadhi Raat — Unki Kahani Ch.2 (verse-1 open),short,"Na tu meri, na main tera — verse 1 at 0:00","ACTIVE SERIAL Ch.2 (bible §3c). Same couple as Ch.1 kiss-open, 2am-apartment setting (rotated off rooftop), hotter cut per VJ (off-shoulder hook + bed suspense + chin-lift + seated hug-hold under end card). POV: 'woh rishta jiska koi naam nahi'. -13.7 LUFS.",channels/aashiqana/songs/03-aadhi-raat/renders/aadhiraat_ch2_branded.mp4
R11,2026-08-20,17:00,Aadhi Raat — Unki Kahani Ch.3,short,TBD at kickoff — next unused bar word-first,"ACTIVE SERIAL Ch.3. Rotate setting again within the midnight-city world; chapter furniture links Ch.2.",TBD
R12,2026-08-27,17:00,Aadhi Raat — Unki Kahani Ch.4,short,TBD at kickoff — next unused bar word-first,"ACTIVE SERIAL Ch.4. Standing Thursday slot; rotate setting within the midnight-city world; chapter furniture links Ch.3.",TBD
R13,ARMED 2026-08-14 13:00 IST (moved from Sat 15th) · youtu.be/8o2OKu0C6eg,13:00,Aaja Ve — Unki Kahani (Aarav & Meher) Ch.2 (laal dress verse),short,"Wo shaam yaad hai, tu laal dress mein thi — verse at 0:00","FRIDAY SERIAL Ch.2. Re-uploaded 2026-08-13 with the VERIFIED spoken-CTA master (whisper + pill confirmed in-file, -14.1 LUFS) after original upload could not be verified; rescheduled Sat→Fri per VJ Friday rule.",channels/aashiqana/songs/02-aaja-ve/renders/aajave_ch2_branded_web.mp4
R14,2026-08-21,13:00,Aaja Ve — Unki Kahani (Aarav & Meher) Ch.3,short,TBD at kickoff — next unused bar word-first,"FRIDAY SERIAL Ch.3. Standing Friday slot; golden-hour world; chapter furniture links Ch.2 (8o2OKu0C6eg).",TBD
