ep,planned_date,pillar,category,working_title,banner_line1,banner_line2,hook_promise,production_note,footage_source,fact_check_rule,tags
07,SHIPPED 2026-08-05 · youtu.be/BpDhMfhfOoI,claude-desktop-efficiency,token-saving,Claude Burns Your Tokens — Do THIS Instead 🪙,STOP WASTING,YOUR TOKENS,Claude eats tokens fast — three habits cut your usage in half,AT PRODUCTION: confirm /compact + concise-mode still current,vhs tape (/compact + token counter before/after),verify /compact and token-usage UX in current build,claude code;token saving;ai cost;claude ai tips;ai productivity;ai tips
08,SCHEDULED 2026-08-07 10:30 UTC · youtu.be/xZirrXHzM4Q,news,news,Google Just Put AI In Your Kid's Classroom 🎓 (Parents Check This),AI JUST ENTERED,YOUR KID'S CLASS,"Gemini in Google Classroom expands to students of all ages Aug 10 2026 — admin-gated, parents can ask to switch it off for under-18s",PRODUCED 2026-08-06: real Google Workspace Updates screenshot (dated Aug 4) as full-frame proof + Pexels b-roll; VO/host pre-rendered (rust outfit),announcement screenshot + Pexels b-roll,source dated & disclaimed in desc,gemini;google classroom;ai in schools;ai for parents;ai news;ai tips
09,SHIPPED 2026-08-06 Ep6 · youtu.be/ym3I9f7PUd0,claude-desktop-efficiency,model-efficiency,Fast vs Deep — Stop Overpaying For Answers ⚡,RIGHT MODEL,RIGHT JOB,Using the big model for everything wastes time and money — match the model to the task,AT PRODUCTION: confirm current model tiers/names,vhs tape (/model tiers + a quick task on fast vs deep),verify current model lineup names,claude models;model switching;ai cost;claude ai tips;ai for beginners;ai tips
10,2026-08-08,new-capability,capability,BRAND NEW: (fetch newest AI feature),JUST DROPPED,NEW AI POWER,(the newest capability this week — real or 'coming very soon'),"AT PRODUCTION: fetch latest feeds; if the feature is LIVE, demo it; if only ANNOUNCED, make a 'this is coming, here's why it matters' teaser",vhs/playwright if live; else host + announcement screenshots,confirm live-vs-announced before scripting; state which honestly,new ai features;claude ai;ai news;ai capabilities;ai tips
11,2026-08-09,news,news,NEWS SLOT — fetch feeds day-of,SO WHAT?,THIS WEEK IN AI,(top AI story decoded),AT PRODUCTION: radar + WebSearch same-day,news radar + screenshots,same-day only,ai news;claude ai;ai updates;anthropic;openai;ai tips
12,2026-08-10,claude-desktop-efficiency,desktop-app,Claude Has A DESKTOP App (Most People Miss It) 🖥️,CLAUDE ON,YOUR DESKTOP,The Claude desktop app does things the website can't — here's the setup,AT PRODUCTION: confirm desktop app current features (Cowork/connectors),playwright/desktop screen-rec (NEEDS user profile login once),verify desktop app capabilities current,claude desktop;claude app;ai productivity;ai for beginners;claude ai tips;ai tips
13,2026-08-11,news,news,NEWS SLOT — fetch feeds day-of,SO WHAT?,THIS WEEK IN AI,(top AI story decoded),radar + WebSearch same-day,news radar + screenshots,same-day only,ai news;claude ai;ai updates;anthropic;openai;ai tips
14,2026-08-12,new-capability,capability,BRAND NEW: (fetch newest AI feature),JUST DROPPED,NEW AI POWER,(newest capability — real or teaser),"AT PRODUCTION: fetch feeds; demo if live, tease if announced",vhs/playwright if live; else host + screenshots,live-vs-announced honesty,new ai features;claude ai;ai news;ai capabilities;ai tips
15,2026-08-13,news,news,NEWS SLOT — fetch feeds day-of,SO WHAT?,THIS WEEK IN AI,(top AI story decoded),radar + WebSearch same-day,news radar + screenshots,same-day only,ai news;claude ai;ai updates;anthropic;openai;ai tips
16,2026-08-24,claude-desktop-efficiency,token-saving,Prompt Caching Cut My AI Bill 80% 💸 (5-Second Setup),CACHE ONCE,PAY ONCE,Two settings quietly slash how much you pay per answer,AT PRODUCTION: confirm caching/projects behavior current; RENAMED from 'Cut Your AI Bill In Half' to avoid publish-preflight title collision with Ep10 (build #16); MOVED Aug 14→18 (Fridays = Build Club; VJ 2026-08-13; Aug 18 was open — Ep20 shipped early),vhs tape or playwright (projects reuse + caching),verify prompt caching + projects current,ai cost;token saving;prompt caching;claude projects;claude ai tips;ai productivity;ai tips
17,2026-08-15,news,news,NEWS SLOT — fetch feeds day-of,SO WHAT?,THIS WEEK IN AI,(top AI story decoded),radar + WebSearch same-day,news radar + screenshots,same-day only,ai news;claude ai;ai updates;anthropic;openai;ai tips
18,2026-08-16,new-capability,capability,BRAND NEW: (fetch newest AI feature),JUST DROPPED,NEW AI POWER,(newest capability — real or teaser),"AT PRODUCTION: fetch feeds; demo if live, tease if announced",vhs/playwright if live; else host + screenshots,live-vs-announced honesty,new ai features;claude ai;ai news;ai capabilities;ai tips
19,"FOLDED 2026-08-14 → S1 (the """"What am I missing?"""" move is now an on-camera beat in bc02 Ch.2; brief preserved for a future standalone)",claude-desktop-efficiency,prompting,Stop Trusting The First AI Answer — Ask This 🧠,ONE FOLLOW-UP,FIXES ANY ANSWER,Every AI answer quietly leaves things out — one follow-up line makes it show you what,"PART 1 of the Aug-17/Aug-19 follow-up pair (ep21 = Part 2, ""make AI interview you first""). MOVED OFF THE NEWS LANE 2026-08-14 on the 12-day read (docs/stats/AI-UNPACKED-READ-2026-08-14.md): 6 news-lane shorts sit at 5-16 lifetime views, 9 tips-lane shorts at 51-223 — Aug 17 was a generic ""fetch feeds day-of"" slot with no peg booked, so it costs nothing to move and it is the weakest lane. Same Ep2 ""painful problem -> one-move fix"" structure as builds #26/#30, and the same proven single-tape harness: record_demo.py --followup (hedged/confident first answer -> ""what am I missing?"" -> the caveats it withheld), ONE unbroken no-login chatgpt.com session so the before/after cannot be distrusted. Gate the halves on the filmed text: --fix-seed-terms on the follow-up answer. Slot 16:00 IST = 10:30 UTC. Windows worker: run record_demo.py --preflight FIRST — a LOGGED_OUT return kills the tape and the brief needs re-planning, not a re-shoot. PRODUCE SPEC (locked 2026-08-14): force a CONFIDENT first pick — prompt ""I'm buying a laptop this week — Mac or Windows? Just tell me which."" so the first answer commits to one side; --fail-terms ""Mac,Windows,I'd go with"" (first answer must recommend); --followup ""What am I missing?""; --fix-seed-terms ""software,budget,depends"" (lexical, non-numeric — proves the follow-up surfaced the tradeoffs the confident answer withheld). CTA tail: reply SHIPPED if it changed your answer",single no-login chatgpt.com tape (record_demo.py --followup + --fix-seed-terms),none — evergreen; no dated claims and no vendor version numbers in script or description,ai prompting;chatgpt tips;better ai answers;follow up prompt;ai for beginners;prompt tips;ai productivity;ai tips
20,SHIPPED 2026-08-08 Ep8 · youtu.be/369SVWp1zbI,claude-desktop-efficiency,model-efficiency,The Effort Dial Nobody Uses (Deeper Answers Free) 🧠,TURN UP,THE EFFORT,"Claude has a thinking dial — turn it up for hard problems, down for speed",AT PRODUCTION: confirm effort/thinking control current,vhs tape (effort adjust + before/after answer),verify effort/thinking UX current,claude effort;extended thinking;claude ai tips;ai for beginners;ai tips
